,content,label,score
0,"A waffle is a dish made from leavened batter or dough that is cooked between two plates that are patterned to give a characteristic size shape and surface impressionThere are many variations based on the type of waffle iron and recipe usedWaffles are eaten throughout the world particularly in Belgium which has over a dozen regional varietiesWaffles may be made fresh or simply heated after having been commercially cooked and frozen Etymology 
The word waffle first appears in the English language in  Waffles",waffle,0.3182
1,"Take flower cream It is directly derived from the Dutch wafel which itself derives from the Middle Dutch wafeleWhile the Middle Dutch wafele is first attested to at the end of the  century it is preceded by the French walfre in  both from Frankish wafla honeycomb or cakeOther spellings throughout modern and medieval Europe include waffe wafre wafer wâfel waufre iauffe gaufre goffre gauffre wafe waffel wåfe wāfel wafe vaffel and våffla History 


 Medieval origins 
In ancient times the Greeks cooked flat cakes called obelios between hot metal platesAs they were spread throughout medieval Europe the cake mix a mixture of flour water or milk and often eggs became known as wafers and were also cooked over an open fire between iron plates with long handlesWaffles are preceded in the early Middle Ages around the period of the  centuries with the simultaneous emergence of fer à hosties  hostieijzers communion wafer irons and moule à oublies wafer ironsWhile the communion wafer irons typically depicted imagery of Jesus and his crucifixion the moule à oublies featured more trivial Biblical scenes or simple emblematic designs",waffle,-0.4201
2,"The format of the iron itself was almost always round and considerably larger than those used for communionThe oublie was in its basic form composed only of grain flour and water  just as was the communion waferIt took until the  century as a product of The Crusades bringing new culinary ingredients to Western Europe for flavorings such as orange blossom water to be added to the oublies however locally sourced honey and other flavorings may have already been in use before that timeOublies not formally named as such until c  spread throughout northwestern continental Europe eventually leading to the formation of the oublieurs guild in  oublieursobloyers were responsible for not only producing the oublies but also for a number of other contemporaneous and subsequent pâtisseries légères light pastries including the waffles that were soon to arise  centuries 
In the late  century the first known waffle recipe was penned in an anonymous manuscript Le Ménagier de Paris written by a husband as a set of instructions to his young wifeWhile it technically contains four recipes all are a variation of the first Beat some eggs in a bowl season with salt and add wine",waffle,0.2732
3,Toss in some flour and mixThen fill little by little two irons at a time with as much of the paste as a slice of cheese is largeThen close the iron and cook both sidesIf the dough does not detach easily from the iron coat it first with a piece of cloth that has been soaked in oil or greaseThe other three variations explain how cheese is to be placed in between two layers of batter grated and mixed in to the batter or left out along with the eggs,waffle,-0.2584
4,However this was a waffle  gaufre in name only as the recipe contained no leaveningThough some have speculated that waffle irons first appeared in the  centuries it was not until the  century that a true physical distinction between the oublie and the waffle began to evolveNotably while a recipe like the fourth in Le Ménagier de Paris was only flour salt and wine  indistinguishable from common oublie recipes of the time  what did emerge was a new shape to many of the irons being producedNot only were the newly fashioned ones rectangular taking the form of the fer à hosties but some circular oublie irons were cut down to create rectanglesIt was also in this period that the waffles classic grid motif appeared clearly in a French fer à oublie and a Belgian wafelijzer   albeit in a more shallowly engraved fashion   setting the stage for the more deeply gridded irons that were about to become commonplace throughout Belgium,waffle,0.6808
5,By the  century paintings by Joachim de Beuckelaer Pieter Aertsen and Pieter Bruegel clearly depict the modern waffle formBruegels work in particular not only shows waffles being cooked but fine detail of individual wafflesIn those instances the waffle pattern can be counted as a large  grid with cleanly squared sides suggesting the use of a fairly thin batter akin to contemporary Brussels waffles Brusselse wafelsThe earliest of the  century waffle recipes Om ghode waffellen te backen   from the Dutch KANTL  manuscript c   is only the second known waffle recipe after the four variants described in Le Ménagier de ParisFor the first time partial measurements were given sugar was used and spices were added directly to the batter Take grated white breadTake with that the yolk of an egg and a spoonful of pot sugar or powdered sugar,waffle,0.4678
6,Take with that half water and half wine and ginger and cinnamonAlternately attributed to the  and  centuries Groote Wafelen from the Belgian Een Antwerps kookboek was published as the first recipe to use leavening beer yeast Take white flour warm cream fresh melted butter yeast and mix together until the flour is no longer visibleThen add ten or twelve egg yolksThose who do not want them to be too expensive may also add the egg white and just milkPut the resulting dough at the fireplace for four hours to let it rise better before baking itUntil this time no recipes contained leavening and could therefore be easily cooked in the thin moule à oublies,waffle,0.5964
7,Groote Wafelen in its use of leavening was the genesis of contemporary waffles and validates the use of deeper irons wafelijzers depicted in the Beuckelaer and Bruegel paintings of the timeBy the  century there were signs of waffles mounting French popularityFrancois I king from  to  of whom it was said les aimait beacoup loved them a lot had a set of waffle irons cast in pure silverHis successor Charles IX enacted the first waffle legislation in  in response to a series of quarrels and fights that had been breaking out between the oublieursThey were required dêtre au moins à la distance de deux toises lun de lautre,waffle,0.6705
8,"to be no less than  yards from one to the other  centuries 
Moving into the  century unsweetened or honeysweetened waffles and oublies  often made of nonwheat grains  were the type generally accessible to the average citizenThe wheatbased and particularly the sugarsweetened varieties while present throughout Europe were prohibitively expensive for all but the monarchy and bourgeoisieEven for the Dutch who controlled much of the midcentury sugar trade a kilogram of sugar was worth ½ an ounce of silver the equivalent of  for a  lbbag  spot silver prices while elsewhere in Europe it fetched twice the price of opium",waffle,0.1901
9,The wealthier families waffles known often as mestiers were smaller thinner and above all more delicate being composed of egg yolks sugar and the finest of the finest flour mixed in white wineOne serves them at the table like dessert pastryBy the dawn of the  century expansion of Caribbean plantations had cut sugar prices in halfWaffle recipes abounded and were becoming decadent in their use of sugar and other rare ingredientsFor instance Menons gaufre from Nouveau Traité de la Cuisine included a livre of sugar for a demilivre of flourGermany became a leader in the development and publication of waffle recipes during the  century introducing coffee waffles the specific use of Hefeweizen beer yeast cardamom nutmeg and a number of Zuickerwaffeln sugar waffles,waffle,0.659
